County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
PIKE,42103,NE,503,478,25,3173,3651,7-5-2020,7-4-2020,28
POTTER,42105,NC,17,14,3,313,327,7-5-2020,7-4-2020,0
SCHUYLKILL,42107,SE,754,727,27,8449,9176,7-5-2020,7-4-2020,84
SNYDER,42109,NC,68,57,11,972,1029,7-5-2020,7-4-2020,15
SOMERSET,42111,SW,63,53,10,3811,3864,7-5-2020,7-4-2020,40
SULLIVAN,42113,NC,10,5,5,199,204,7-5-2020,7-4-2020,3
SUSQUEHANNA,42115,NE,185,179,6,1839,2018,7-5-2020,7-4-2020,17
TIOGA,42117,NC,27,21,6,1181,1202,7-5-2020,7-4-2020,7
UNION,42119,NC,95,86,9,2674,2760,7-5-2020,7-4-2020,222
VENANGO,42121,NW,27,17,10,1364,1381,7-5-2020,7-4-2020,35
WARREN,42123,NW,7,5,2,752,757,7-5-2020,7-4-2020,13
WASHINGTON,42125,SW,295,282,13,8722,9004,7-5-2020,7-4-2020,207
WAYNE,42127,NE,141,133,8,2563,2696,7-5-2020,7-4-2020,20
WESTMORELAND,42129,SW,801,774,27,19216,19990,7-5-2020,7-4-2020,298
WYOMING,42131,NE,39,37,2,1180,1217,7-5-2020,7-4-2020,18
YORK,42133,SC,1609,1562,47,23417,24979,7-5-2020,7-4-2020,312
